,text,sentiment
91,"#iPhone #users face big change over @Apple [#Apple]'s Google search choice. (#Monday, 1 #December) http://t.co/fA3KKjQQdA",0
92,RT @chanchan1717: @aydlettgwyn13 @apple please educate us,0
93,"Just updated my ram to 16gb. @apple you guys are like shallow gf's. Take all the money, but dammit you look good.",1
94,@apple @iphone4 oh it's not fair and i think you're really mean,-1
95,#whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime,0
96,RT @JodiSpicer: #whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime,0
97,IBM: @Apple iOS users account for 21.6% of ALL online sales. 3x @android users (6.6%). They are dominating. #business #sales #cybermonday,1
98,I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER @Apple,-1
99,@gr8american23 i've made clear i support rand paul in 2016 in most cases. why is everyone pigeonholed as red or blue? also u like @apple?,0
100,@apple why was the iphone 4 ever created,-1
101,@apple I FUCKING HATE YOU http://t.co/xRxXK0rdot,-1
102,@apple please can I have new phone for Christmas? #spreadsomejoy,1
103,Perfome @apple pie.. http://t.co/eHsgVdej9N,0
104,#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading #stocks,0
105,.@Apple rumoured to be launching a 'Mega Tab' because #biggerisbetter http://t.co/UreeAozPaI,0
107,"Apple Inc. PT Upped By Barclays, Morgan Stanley Trims Stake http://t.co/jgysEmQXBl #AAPL",0
108,IT'S NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT @APPLE,-1
109,"RT @HamzeiAnalytics: New HA Blog Post &gt;&gt;&gt; Final #AAPL #PutCallRatios for Monday, December 1, 2014:  http://t.co/FO160NRHfF",0
110,#AAPL:Jim Cramer's 4 Best Stock Picks for the Health Care Sector...http://t.co/CaQgzX0KiJ,0
111,My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple,-1
112,"Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn",0
113,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn",0
116,My laptop was completely dead and blacked out for 2 days &amp; I finally opened the inside and fixed it. Hire me @Apple,0
117,@baseballbridget @apple we couldn't even get a turkey for TDay so they just don't care... #appleemojissuck,-1
119,RT @toricolelli: My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple,-1
120,"#Apple (NASDAQ: #AAPL) Participates in World Aids Day Campaign: http://t.co/YytgUGXQNB: #Apple, #AAPL, Campaign... http://t.co/XT3Z1sx0P4",0
121,Well played @apple http://t.co/mGbsxyiA69,1
122,Thank you @Apple,1
123,Fix it @apple http://t.co/cHoq6LHeHo,-1
124,RT @_iamGambino: Thank you @Apple,1
125,How long does it really take for a phone to ship @apple smh,-1
126,@Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE,0
127,RT @smartoutsource1: @Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE,0
128,Lol dying @apple http://t.co/EP8hQb2O2H,0
130,"So, on my iphone5, the @apple health kit is no longer gathering data.  Sigh.",-1
131,"Trade $AAPL #FREE Nightly Updates are #posted here on #Twitter, or you can visit the #Trade #AAPL FREE #website here http://t.co/U4TKeApbxF",0
132,Thanks @apple for changing yet another fuck into duck...Thanks.,-1
133,@Apple YH News Apple tumbles as much as 6 percent in unusual trading: By Chuck Mikolajczak NEW YORK (Reuters) ...  http://t.co/hNuWafq0sI,-1
134,@brwnskin_beauti cause fuck @apple,-1
135,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP,0
136,if i buy a 16 gb phone i should have 16 GB'S TO USE @apple,-1
137,fuck you for BREAKING MY MUSIC @apple,-1
139,"Have #Apple, Inc.'s #iPad Sales Peaked? #AAPL http://t.co/2Wpaib3z9M",0
141,Barclay's #Apple Analyst Joins The Crowd And Increases Price Target - Forbes #aapl http://t.co/6Z1DwxeCpE,0
142,just need @apple to come out with a charger cord that keep a charge &amp; don't fall apart http://t.co/VZ8HDbMzlu,-1
143,RT @AMANDAZUCKERMAN: You should be able to forward a voicemail. Why isn't that a thing? @apple,-1
144,@apple and @facebook I speak for all of humanity; We want to chose what contacts are added to our contacts book from #facebook #thanks,-1
145,@Apple I h8 everything about u,-1
146,@apple ur a disgrace,-1
147,@apple I want my pictures back,0
148,My phone is on acid right now @apple fix this,-1
149,@Apple I had a power cord problem- under warranty. You said it would be fine. It isn't. And now you won't replace it? http://t.co/fW3BoW53dj,-1
150,@Apple This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. #defective,-1
151,"@Apple BTW, I LOVE all of your products.  They rock!  Your power cords are junk.  You seriously need to fix this!",1
154,Yo @Apple fix your shitty iMessage,-1
155,#AAPL RT @AboveAvalon Apple's Share Repurchases Have Benefited Shareholders by $80 Billion  http://t.co/XHkqFr7whT,1
156,"Even With Apple Watch Delayed, I'm Raising My AAPL Price Target To $165 - http://t.co/TGENjFl3zI #AAPL #Alex_Cho",1
157,I love @AIRMILES! Between @chaptersindigo &amp; @apple I earned ~200 miles during the #BlackFriday sale! #freemoney #centsability #cybermonday,1
158,Yo! @apple this auto correct shit gotta stop!!! changing my shit right when i send it,-1
159,First @Apple logo was designed by co-founder Ronald Wayne. Drawing of Isaac Newton reading a book under an apple tree,0
160,Those** PICK UP THE SLACK YOU FUCK BOYS @Apple,-1
162,@surface maybe good product but never better then @apple MacBook Air .... It's a fact,1
163,fucking faggots @apple,-1
164,@Apple of course that's not their mother fucking @,-1
165,Apple Inc. Store Logos Turn Red For World AIDS Day http://t.co/nsBtAl4g75 #AAPL,0
166,the fuck kinda gay shit you print in the fucking ketosis @apple,-1
167,Game*** @Apple you bitches really trying me tonight! RT @DreMacsAMillion: @WhoSFlyy__ gams night gawd,-1
168,Apple CEO Tim Cook comes out as gay @Apple   http://t.co/euFQQpMjj6  Via @posh360_Net,0
169,RT @bella_bong_: @apple U need to get ur fucking shit together and let me txt while on YouTube,-1
170,@apple @Disney Why can't I buy any version let alone the version I actually like of Star Wars on @iTunesMovies #stupid #lame #StarWars,-1
171,@Apple @tim_cook Perhaps a less malleable metal for the shell of the #iPhone6SPlus. #noticedsomecurve,0
172,MacBook Pro 13   Non-retina First Startup: http://t.co/9l6RK2OLq2 via @youtube @apple #macbook #macbookpro #startup #hipster,0
173,MacBook Pro 13in Unboxing: http://t.co/F3IM9YbpxF via @youtube @apple #macbook #macbookpro #startup #hipster #unboxing,0
174,iPad Mini Unboxing!: http://t.co/GnLy8W75nA via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unboxing,0
175,iPad Mini First Time Startup!: http://t.co/vGHN798zzs via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unbox,0
176,@apple where the iPod 6 at doe?,0
177,"Can @apple drop Audio Only rendition requirement for iOS apps? 
Users hate it 
No other stores want it
Other platforms don't know what it is",-1
178,"None too happy with @Apple Mac OS X (Yosemite), File Vault 2, or Boot Camp right now. Thankful to own a @lenovo.",-1
179,"#iPhone6S to #emerge spring 2015 with @Apple [#Apple] Watch?. (#Tuesday, 2 #December) http://t.co/NnGLuvYW6M",0
180,All my Apps on @apple #ipodtouch5thgen http://t.co/cRhwdbSxSx http://t.co/UNpPU4zrRq,0
181,I demand there be a tapatio emoji @apple,-1
182,My apps @apple #ipodtouch5thgen http://t.co/ttEzGarBXd http://t.co/8bUawltG4i,0
183,"#AAPL:
Call America for free until Christmas: Tesco cuts costs for relaunch...
http://t.co/ujvbkQVfqj",0
184,so for the second time #aapl #pages ate my edits. 700bn? #amateurs #fail #iwantjobsback,-1
185,feel so lost with out my phone :(  @apple iPhone 5 chargers are horrendous! #brokenchargerprobs,-1
186,#AAPL:Apple heads to trial over digital music claims...http://t.co/vOpYSuiVKi,0
187,Excellent news #HouseOfCards S3 on @netflix 27/2! I wonder if Yosemite &amp; my wifi will be talking by then @apple @tim_cook ? It's been wks!!,-1
188,@apple my laptop is burning my legs what do u have to say about this,-1
189,@benh4ll @netflix @Apple @tim_cook Great news! hope your wifi gets sorted though!,1
190,The Secret of Life from Steve Jobs in 46 Seconds. Some #motivation from the late CEO of @apple http://t.co/7UOYKec9YN,0
191,10 best #SteveJobs #apple #aapl #tech30 http://t.co/FkrkG1iF7g via,0
192,@HammerArcade This makes me feel so sad ;-; WHY DO U HAVE TO BE SO ROOD @APPLE,-1
193,I hate these @apple earphones so bad. Why in the world did they think it was a good idea to p http://t.co/X7lIGAQeG5 http://t.co/ihR2OGZa6s,-1
194,@QuentinNield @Apple I need to reinstall on my Apple iPad 2,0
195,"@Apple, I salut you! @kcdenton's photo http://t.co/nmwlvZVjHS",1
200,"Smartphone/tablet to become home automation hub, how can any wireless protocol beat #WiFi and #Bluetooth @apple #Homekit @ShortcutLabs #flic",0
201,Options Outlook Amid Heavy Week Of Economic Events http://t.co/J7hj76F2sG #AAPL #GOOG #GOOGL #TSLA #WMT #PreMarket #Markets,0
202,Why you dying so fast phone? Fuck you @apple,-1
203,@remuuusss @apple fix this,-1
204,"It's been said 'don't talk about politics', But I can't take it anymr. I'll still post about @cisco, @apple and others. But we need change.",0
206,Does anybody knows how to use � on a Macbook Pro Retina US keyboard? Thank you so much! @apple #macbook #pro #apple #keyboard,0
207,The best guest behind Apple's rapid stock price decline yesterday is algorithmic trading. $40bn wiped off by automatic computer trades #AAPL,0
208,@Apple awarded #patent 4 #augmented reality devices w #transparent #displays - http://t.co/uwfnVajgU7 http://t.co/yuhQsR8lOb,0
209,@apple #apple #iphone @iphone #iphone4s #iphone4problems  SOMEONE FUCKING HELP ME SOMEONE WHO WORKS AT APPLE FUCKING HELP ME DO UR JOB CUNTS,-1
210,"WTF @Apple, synching notes or iCloud pages is unusable. It used to be easier.",-1
212,hey @apple fuck you just let me change stores,-1
213,about to write a huge fuck you to @apple for not letting me make reservations to get my laptop fixed,-1
214,"Apple tumbles as much as 6 percent in unusual trading $AAPL #aapl
http://t.co/0wtDVpBm4u",-1
215,"@angusdick yes, had that exact issue. Took it to @apple for a free battery replacement. Trackpad ended up being fine.",0
216,@JimCramer Says 'Machines' Caused @Apple's Big Drop $AAPL  http://t.co/pfzq1N52hH,-1
217,@maxscottslade @Apple yeah the trackpad is fine and working now! but I had to damage one of the screw holdings to get the battery out,-1
218,"Video Shows Size of 12.2-Inch 'iPad Air Plus' Mockup Next to iPhones, iPads, and MacBook http://t.co/B3V5X45stZ #AAPL",0
220,@Apple #fail - Since updating my #ipad #OS there is a #bug that does not delete videos and free up memory forcing... http://t.co/AjdDTF19Nn,-1
221,"Apple Opening New Retail Store in Toledo, Ohio Saturday, December 6 [Mac Blog] http://t.co/ynkgEl9JSL #AAPL",0
222,"Why Morgan Stanley Is Negative On Apple And The Tech Sector $AAPL #aapl
http://t.co/wARhEy9ueH",0
223,"Google Is Now Beating Apple In This One Key Sector $AAPL #aapl
http://t.co/WvcXxxXlds",0
224,"BBC News - Evidence by late Steve Jobs to be used in music trial
#AAPL

http://t.co/I6DXPPUWJy",0
225,my alarm was set the ringer was on and it just refused to work fuck u @apple,-1
226,@twitter @facebook @AlibabaTalk @google @Apple n more in race to win payments? What's future of #payments start-ups? @microsave @FinTechHub,0
227,"I'm lost because it's deer season, but there is no deer emoji. Come on @Apple, how am I suppose to show the love to all my huntin' friendz?",-1
228,@NeimanMarcus utilizing iBeacons for #engagement to send messages to @Apple Passbook #personalization http://t.co/CVNq0lUhNO via @pymnts,0
229,Technology News: @Apple trial to feature unseen late #SteveJobs video deposition http://t.co/YVyoTpdMZP,0
230,@Apple I figured out #memory issue on my #ipad. It wasnt a #bug but a new hidden folder that stores our  images... http://t.co/vEKIE3qlDp,-1
231,We will be in room 1215 at 3:15 today presenting on our experience with @Apple DEP and @JAMFSoftware   #herewegolakers,0
232,#AAPL:Pacific Crest's Apple Analyst Reiterates Selling Some Shares...http://t.co/zj974XddLN,0
233,"Pacific Crest's Apple Analyst Reiterates Selling Some Shares $AAPL #aapl
http://t.co/WMosfzhzZi",0
234,"#AppleLawSuit Depends on exactly what @Apple did to hold back/beat their competition. There are fair game competitive tactics &amp; unfair 1s
YK",-1
235,"#AAPL:
    Audio: Auto sales due; Apple lawsuit heads to court...http://t.co/Kvb1L61oLN",0
236,Apple's PT raised by Canaccord Genuity to $135.00. buy rating. http://t.co/Nh2vs5lzoE $AAPL #AAPL,0
237,Apple's PT raised by Canaccord Genuity to $135.00. buy rating. http://t.co/Tb5dmDEjeA $AAPL #AAPL,0
238,"IPhone6 has too many issues,  why tf is the earphone plug in not working @apple u better fix this shit for free.",-1
239,"Cheap Chromebooks teach Apple a lesson: Price matters $AAPL #aapl
http://t.co/GUC5yr4cMf",0
240,"@mcmillanstu @D1PZ... But trying to get launch info ahead of time from telco marketing teams was a nightmare - thanks @apple!
#EcomChat",-1
242,Dear @apple replace my phone my battery sucks,-1
243,#Apple heads to trial over iTunes update #AAPL http://t.co/BevWxGyCVk,0
244,From beyond the grave! RT @GMA: Jurors set 2 hear fr star witness at @Apple trial: Steve Jobs. http://t.co/kehRY5VYAS http://t.co/KgvFdBtF7S,0
245,.@Apple heads to trial over digital music claims $APPL #tech,0
246,"Fantastic service today @Apple store Touchwood - thanks to all, &amp; esp Zach for sorting my battery problem so quickly &amp; efficiently.",1
247,"Here's why Apple dropped $AAPL #aapl
http://t.co/QOa336kFYs",0
248,"APPLE Intraday Comments - Pre-Opening - PREMIUM USERS  #aapl #Stockaction #trading #Stocks #MKt
http://t.co/G0TeDLCB9z",0
249,@losskitty @Apple its always like that with new products from apple,0
250,RT @laurrynk: Dear @apple replace my phone my battery sucks,-1
251,"@ThisDueeMarco @Apple thats annoying, they never get stuff right the first time.",-1
252,@jimcramer What is going on with #aapl....,0
253,"Apple Lower as Analyst Sees Risk of Sharp Production Cuts for iPhone 6 Plus in Q1 $AAPL #aapl
http://t.co/SqEtCeOJPQ",0
254,"RT @JPDesloges: Apple Lower as Analyst Sees Risk of Sharp Production Cuts for iPhone 6 Plus in Q1 $AAPL #aapl
http://t.co/SqEtCeOJPQ",0
256,TheStreet:  #Apple Gets Price Target Boost on Back of Strong #iPhone Demand #aapl http://t.co/f2qTGIBDDq,1
257,#AAPL MT @FortuneMagazine Can Apple clear name in ebooks drama? Eddy Cue says he'd do it again- but take better notes http://t.co/xCYyyJtK05,0
258,@Apple with now dual core technology http://t.co/sq1VoVV5tf,1
259,Pacific Crest's #Apple Analyst Reiterates Selling Some Shares - Forbes #aapl http://t.co/4WRGdhxi0G,0
260,Every student deserves a chance @apple #connected #txed,0
261,I'm surprised there isn't more talk about what looked like a flash crash in #AAPL yesterday. Biggest range in years and largely ignored,-1
263,A lack of equal access to technology places students and minorities at a disadvantage.  Education is the great equalizer @apple #txed,0
265,RT @RatingsNetwork: Apple's PT raised by Canaccord Genuity to $135.00. buy rating. http://t.co/Nh2vs5lzoE $AAPL #AAPL,0
266,"APPLE - Fibonacci Technicals Levels - Intraday - Pre-Opening $AAPL #aapl 
http://t.co/lFF61YGu4B",0
267,"Realmac Software Launches 'Typed', a Markdown Writing App Featuring a Minimal Interface [Mac Blog] http://t.co/3Hq47gIlE6 #AAPL",0
268,@MazeOnPace @Apple Product Line competes with itself. iPhone6+ vs. iPad. Who needs an iPad any longer!?,0
269,#AAPL:'Fast Money' Recap: Energy Companies Ebb and Flow With Oil Prices...http://t.co/qRwLlGcLk6,0
270,Enjoying the introductions at the @apple #connected launch event.  Some amazing #edtech leaders in the room.  #txed,1
271,"Got A New Phone. @Apple 
#Iphone6Plus http://t.co/VRrOnfpUkG",1
272,3 More #AppleWatch Details Exposed #aapl http://t.co/PEvFaMKC8O,0
274,U.S. Government Attempts 'Hail Mary' to Get #Apple To Unlock #iPhones #aapl http://t.co/EzUsCC5ZgI,0
275,"APPLE - Fibonacci Technicals Levels - Intraday  Update - $AAPL #aapl 
http://t.co/PEN0LjAJIR",0
277,Here's Why #Apple Won't Be A Trillion Dollar Company According To Billionaire VC Jim Breyer #aapl http://t.co/2TQVM5v4yB,-1
278,Chromebooks Overtake Apple's iPads in U.S. Education Market http://t.co/iR8WRGXO2x @apple @googlechrome #chromebooks #ipad,-1
279,Apple Inc. is doomed. $AAPL dropped by 1.54%! Currently priced at 113.3. http://t.co/K6PKMj3Sbf #AAPL,-1
280,Imagine a world without cracked #iPhone screens! @Apple Patents Drop Protection Mechanism http://t.co/cOorkE2pbx http://t.co/D9qtmhDMmR,0
281,.@Apple #HealthKit first movers featured at @mHealthsummit | Mobiquity's own @snyder4g also panelist @mhealth14 http://t.co/mrLT6wCnPE,0
282,#AAPL:How to Remove Apple Pay Credit Cards Remotely From http://t.co/JPD3HwdeeE...http://t.co/7XGBbp7cjW,0
283,.@Apple wants you to stop taking vertical photos: http://t.co/Aw5nUQmzZk via @OutsideMagazine,-1
284,10 best Steve Jobs emails #apple #stevejobs #AAPL http://t.co/7PJHEvkUbh,0
285,"Apple Is Reportedly Planning A 12-Inch iPad That Will Be Like Microsoft's Surface $AAPL #aapl
http://t.co/ahKJeeKqdi",0
286,"@Apple [#Apple] #Patents An #iPhone Drop Protection Mechanism That Changes Device .... (#Tuesday, 2 #December) http://t.co/WvSAiPpSW5",0
287,Props for @apple iTC App Review Team for reviewing metadata rejected resubmission in just 2 hours! Thanks!,1
288,Apple bears get paid as put contracts double amid drop http://t.co/KdnL4Uc3Yz #News #AAPL #Applebears #Appleoptions #Apple #iPhone #News,0
289,@apple yall some hoes,-1
290,What's at the core of @Apple's new #iOS7? Excellent updates for your phone's #mobilesecurity. #McAfee - http://t.co/pVo68ZVdq4,1
291,Thanks @apple for 'Keep Newer' when transferring files from a local hard drive to a server.,1
292,Does @apple store in Georgetown sell refurb'd iPads? Or just new? Are refurbs only available online?,0
293,"APPLE - Fibonacci Technicals Levels - Intraday  Update - $AAPL #aapl 
http://t.co/KfNPj9P8HI",0
294,Apple Flash Crash: What You Need to Know #AAPL http://t.co/2PBThSFeEE,0
295,Why Estimates Of A 1 Trillion Market Cap For #Apple Are Still Far-Fetched: Fundamental And Algorithmic Analysis #aapl http://t.co/TTydGD71Wc,0
296,"@capitolization @Apple I believe they are only online, but you may be able to 'ship to store'.",0
297,Did you notice that @Apple apps now say 'Get' instead of 'Free'? This change was due to alleged misleading labeling. http://t.co/In8SIkR1Qp,-1
298,"APPLE Intraday Comments - Updated RANGE - PREMIUM USERS  #aapl #Stockaction #trading #Stocks #MKt
http://t.co/G0TeDLCB9z",0
299,"#AAPL Market Cap Passes $700 Billion, Tablet Sales Slump and More  http://t.co/gWDMiYag9o",0
300,@drewbsaunders Thanks. Also interestingly @apple isn't Apple.,0
301,@shortyawards @Apple it is very confusing u wonder if it means u are going to get a bill later for Ur download please use free if it's free,-1
302,Elgato Launches Thunderbolt 2 Dock with 4K Resolution Support [Mac Blog] http://t.co/Sofxp2HvlB #AAPL,0
303,"The @Sony #e-paper FES #watch is the coolest piece of #wearable #tech yet, sorry @Apple http://t.co/542RSJsmkf by @luchanglu via @bustle",0
304,Finally gave up on return of @Apple 17' MacBook Pro model. My 15' Retina is 'out for delivery'. They'll probably announce one next month ;-),0
305,"APPLE Intraday Comments - Updated NEW RANGE  - PREMIUM USERS  #aapl #Stockaction #trading #Stocks #MKt
http://t.co/G0TeDLCB9z",0
306,"Apple  Loses Ground to Google  In Education Tablet Sales $AAPL #aapl
http://t.co/Ap0c3ehZLe",-1
307,Apple Computer Inc (AAPL) rated Buy with price target $135 by Canaccord Genuity http://t.co/sMH4vteeHP #AAPL,0
308,@apple What do I need to do if my mac has been really slow lately ?,-1
309,"APPLE - Fibonacci Technicals Levels - Intraday  Update - $AAPL #aapl 
http://t.co/72PLry6Yds",0
310,RT @tra_hall: Enjoying the introductions at the @apple #connected launch event.  Some amazing #edtech leaders in the room.  #txed,1
311,$AAPL #AAPL green right now. Hope it stays.,0
312,RT @GregSherry Customer Service Successes &amp; Fails @Apple &amp; @SouthwestAir   examples http://t.co/jG7jp6L7zD @dkusnetzky #custserv #cx #cem,0
313,Sprint Offering to Halve Wireless Bills for Customers Switching From AT&amp;T or Verizon [iOS Blog] http://t.co/Chvmx9EHiy #AAPL,0
